pidp,sclfsato,age_dv,fimnnet_dv,nchild_dv,hiqual_dv,hhsize,ever_married,log_income,sex_female,occ_2.0,occ_3.0
22445,6.0,38.0,2440.40991210938,2,1.0,4.0,0,7.800330984237853,1,False,False
29925,6.0,46.0,4000.0,2,1.0,3.0,1,8.294299608857235,1,True,False
76165,2.0,40.0,3700.0,2,3.0,4.0,0,8.216358332386156,1,False,False
280165,5.0,44.0,531.580017089844,0,4.0,4.0,0,6.277733153130038,1,True,False
469205,6.0,33.0,2235.89990234375,2,5.0,3.0,1,7.712846214107107,1,False,True
599765,7.0,36.0,2959.46997070313,1,1.0,3.0,0,7.993103308601059,1,False,False
1587125,4.0,57.0,2430.0,0,2.0,1.0,1,7.796057974316123,1,False,False
2888645,6.0,34.0,2804.169921875,0,3.0,1.0,1,7.939219394330567,1,False,False
3062725,5.0,37.0,3550.0,2,,5.0,1,8.174984532943087,1,False,True
3663845,3.0,38.0,503.059997558594,0,4.0,2.0,1,6.222695303761328,0,True,False
4849085,3.0,40.0,3771.25,0,1.0,2.0,0,8.235426919393761,0,False,False
4853165,4.0,52.0,1625.0,0,4.0,3.0,0,7.3938782901077555,0,False,True
68008847,6.0,65.0,2294.0,0,5.0,1.0,1,7.738488122494646,1,True,False
68009527,4.0,45.0,2253.330078125,2,2.0,4.0,0,7.720608124927524,0,True,False
68010887,6.0,59.0,1800.0,0,1.0,2.0,0,7.496097345175956,1,False,False
68014291,7.0,30.0,1800.0,0,3.0,2.0,0,7.496097345175956,1,False,False
68029931,7.0,53.0,2100.0,0,3.0,5.0,0,7.650168700845001,0,False,False
68035367,6.0,42.0,4107.169921875,2,1.0,4.0,0,8.32073293384319,0,False,False
68041487,6.0,53.0,3800.0,0,1.0,4.0,0,8.24301946898925,1,False,False
68041491,6.0,48.0,0.0,0,3.0,4.0,0,0.0,0,False,False
68045567,6.0,61.0,5515.0,0,1.0,1.0,1,8.615408238913192,1,False,False
68049651,6.0,63.0,1680.0,0,3.0,2.0,0,7.427144133408616,1,False,False
68051007,6.0,62.0,820.0,0,1.0,2.0,0,6.710523109452428,0,False,False
68051011,3.0,55.0,3283.46997070313,0,2.0,2.0,0,8.096960569560677,1,False,False
68056447,6.0,60.0,1900.0,0,5.0,5.0,0,7.550135342488429,0,False,True
